campaignid,opcode,status,longitude_dd,latitude_dd,observer_count,observer_length,date_time,location,site,depth_m,successful_count,successful_length,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward
2014-12_Geographe-bay_stereo-BRUVs,114,NA,115.1639,-33.3984,Lizzy,Lizzy,2014-12-10T10:20:00+08:00,Geographe Bay,Geographe Bay,39.7,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,115,NA,115.4065,-33.4446,Logan,Molly,2014-12-13T10:46:00+08:00,Geographe Bay,Geographe Bay,25.2,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,116,NA,115.2864,-33.4982,Hayley,Molly,2014-12-09T06:20:00+08:00,Geographe Bay,Geographe Bay,29.7,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,119,NA,115.5567,-33.4388,Lizzy,Laura,2014-12-14T11:25:00+08:00,Geographe Bay,Geographe Bay,5.2,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,122,NA,115.4021,-33.5375,Logan,Molly,2014-12-13T05:48:00+08:00,Geographe Bay,Geographe Bay,13.3,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,135,NA,115.4207,-33.5019,Logan,Molly,2014-12-16T12:54:00+08:00,Geographe Bay,Geographe Bay,15.8,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,138,NA,115.1139,-33.5808,Lauren,Damo,2014-12-15T06:50:00+08:00,Geographe Bay,Geographe Bay,15,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,139,NA,115.2737,-33.6033,Daphne,Molly,2014-12-17T08:29:00+08:00,Geographe Bay,Geographe Bay,13.4,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,143,NA,115.2367,-33.5762,Logan,Molly,2014-12-15T13:24:00+08:00,Geographe Bay,Geographe Bay,23.2,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,144,NA,115.4323,-33.5342,Lauren,Laura,2014-12-16T15:37:00+08:00,Geographe Bay,Geographe Bay,12.3,Yes,Yes,NA,NA,NA,NA
